"Country_Name","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"Algeria","13.398","13.765","6.048","8.833","-5.953","-0.832","-1.672","-4.96","-0.45","-7.448","-14.528","-11.703","-8.731","-6.492","-4.983","-3.869"
"Algeria","215.521","-647.081","-1,912.18","-3,305.73","-3,238.47","-3,444.24","-3,937.40","-3,777.07","-4,185.81","-2,896.50","-1,088.80","682.626","2,140.22","3,339.35","4,403.32","5,310.07"
"Algeria","2.85","-7.611","-20.445","-29.933","-32.489","-28.722","-27.105","-23.303","-25.149","-16.835","-6.432","3.736","10.644","15.185","18.457","20.595"
"Algeria","2,058.22","2,283.98","1,303.32","974.312","1,077.99","1,398.58","1,444.31","1,611.77","1,377.70","1,511.97","1,724.76","2,482.62","3,940.21","5,139.33","6,203.27","7,109.95"
"Algeria","27.218","26.865","13.935","8.822","10.814","11.663","9.942","9.944","8.278","8.788","10.188","13.586","19.596","23.37","26.001","27.576"
"Algeria","7,562.00","8,501.64","9,352.89","11,043.70","9,968.03","11,991.56","14,526.61","16,208.71","16,643.80","17,205.10","16,929.05","18,273.27","20,107.13","21,990.68","23,857.54","25,782.87"
"Algeria","21.183","28.95","30.6","34.449","0.411","12.157","19.802","12.29","0.835","-9.635","-30.96","-29.396","-27.735","-22.959","-20.824","-19.969"
"Algeria","20.526","24.738","22.671","20.146","0.3","7.541","9.931","5.88","0.398","-4.513","-17.684","-16.177","-14.426","-11.356","-9.874","-9.112"
"Angola","750.784","906.46","1,111.26","1,264.80","1,295.32","1,339.46","1,391.95","1,463.71","1,563.30","1,638.28","1,695.42","1,755.17","1,821.36","1,898.73","1,987.17","2,090.07"
"Angola","18.262","20.735","22.593","13.817","2.413","3.408","3.919","5.155","6.804","4.796","3.488","3.524","3.771","4.248","4.658","5.178"
"Angola","2,460.83","3,358.54","4,636.80","6,316.16","5,988.68","7,579.55","9,780.10","11,011.43","11,985.05","12,713.05","12,227.29","14,658.39","17,323.90","20,250.07","23,278.02","26,595.84"
"Angola","28.234","41.789","60.449","84.178","75.492","82.471","104.116","115.342","124.174","129.326","102.011","98.815","105.369","112.533","119.403","127.15"
"Angola","327.767","370.512","417.257","499.38","462.332","565.866","702.62","752.297","766.649","776","721.196","835.155","951.15","1,066.50","1,171.42","1,272.49"
"Angola","40,175.18","47,092.73","56,050.91","61,937.40","61,584.36","61,828.09","62,379.48","63,684.91","66,037.10","67,188.61","67,506.76","67,850.38","68,358.51","69,186.73","70,300.16","71,786.77"
"Angola","131,681.04","174,484.14","233,876.48","309,303.09","284,724.20","349,864.32","438,290.81","479,099.38","506,272.69","521,383.58","486,856.03","566,655.75","650,191.87","737,879.11","823,507.28","913,477.62"
"Angola","1,510.81","2,171.06","3,048.99","4,122.21","3,589.19","3,806.77","4,665.91","5,018.43","5,245.36","5,303.87","4,061.78","3,819.93","3,954.65","4,100.53","4,224.12","4,367.19"
"Angola","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Angola","68.755","85.562","107.684","124.967","128.954","134.977","143.162","153.316","166.417","177.264","185.246","194.055","204.883","217.974","233.083","250.438"
"Angola","3,679.12","4,445.12","5,431.48","6,119.63","6,130.95","6,230.42","6,415.75","6,670.67","7,029.81","7,269.88","7,375.98","7,501.65","7,689.55","7,942.61","8,245.80","8,601.71"
"Angola","0.103","0.118","0.137","0.151","0.155","0.152","0.152","0.155","0.161","0.163","0.164","0.164","0.164","0.164","0.166","0.168"
"Angola","35.791","39.253","43.059","50.543","46.44","56.154","68.315","71.822","72.018","71.718","66.006","75.537","84.555","92.901","99.87","106.197"
"Angola","8.779","15.361","13.505","16.219","15.229","14.433","12.906","14.932","14.786","15.037","10.422","11.347","12.346","11.823","11.363","11.379"
"Angola","26.977","40.942","31.009","24.765","5.199","23.534","25.473","26.942","21.509","13.528","2.791","5.759","7.903","8.775","8.515","8.427"
"Angola","49.968","56.616","63.551","71.472","81.278","93.047","105.594","116.454","126.681","135.924","149.887","171.174","192.481","214.517","236.932","259.321"
"Angola","22.961","13.305","12.249","12.465","13.721","14.48","13.484","10.285","8.782","7.296","10.273","14.202","12.447","11.448","10.449","9.45"
"Angola","53.596","60.139","67.221","76.074","86.714","100","111.376","121.447","130.782","140.571","160.11","180.925","202.636","224.926","247.418","269.686"
"Angola","18.53","12.207","11.776","13.17","13.987","15.322","11.376","9.042","7.687","7.485","13.9","13","12","11","10","9"
"Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","37.755","1.17","47.519","44.949","6.365","-21.349","10.032","8.618","9.047","7","-19.786","-2.867","4.465","2.241","2.074","2.516"
"Angola","38.558","-1.16","42.175","35.802","18.418","-31.685","7.757","21.966","12.866","10.59","-21.755","1.512","9.937","2.729","2.766","5.673"
"Angola","28.148","14.255","17.501","10.105","-2.64","-3.266","-5.404","3.838","0.064","-3.517","13.181","3.032","-0.274","0.166","0.273","0.538"
"Angola","30.262","9.97","22.12","10.307","-3.61","-3.425","-4.837","3.829","-0.752","-3.801","11.56","3.936","0.016","0.162","0.17","0.435"
"Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","18.688","19.248","19.826","20.421","21.033","21.664","22.314","22.984","23.673","24.383","25.115","25.868","26.644","27.444","28.267","29.115"
"Angola","1,085.84","1,685.03","2,124.71","3,217.43","2,069.73","3,295.49","4,776.15","5,053.80","4,848.61","4,402.64","3,354.07","4,043.72","4,825.35","5,653.09","6,413.81","7,221.36"
"Angola","44.125","50.172","45.823","50.94","34.561","43.479","48.835","45.896","40.455","34.631","27.431","27.586","27.854","27.916","27.553","27.152"
"Angola","854.785","1,288.35","1,908.84","3,498.79","2,510.20","3,034.03","3,927.55","4,548.77","4,888.69","5,222.02","3,781.69","4,248.94","5,164.75","5,795.43","6,402.35","7,092.85"
"Angola","34.736","38.36","41.167","55.394","41.916","40.029","40.159","41.309","40.79","41.076","30.928","28.986","29.813","28.619","27.504","26.669"
